Order,Family,Subfamily,Genus,Common Name,Simp_Spec,Spectrum,Downy hatchling plumage,Motor activity,Locomotor activity,Follow parent(s),Search and feed alone,Young are fed by parents,Stay in nest,Closed eyes at time of hatching,Lack external feathers at time of hatching,No parent chick interactions,Contour feathers at hatching 
Struthioniformes,Struthionidae,,Struthio,ostrich,Precocial ,Precocial 2,,,,,,,,,,,
Rheiformes,Rheidae,,Rhea,rheas,Precocial ,Precocial 2,,,,,,,,,,,
Apterygiformes,Apterygidae,,Apteryx,kiwis,,,,,,,,,,,,,
Casuariiformes,Casuariidae,,Casuarius,cassowary ,,,,,,,,,,,,,
Casuariiformes,Casuariidae,,Dromaius,emu,,,,,,,,,,,,,
Tinamiformes,Tinamidae,Nothurinae,Eudromia,tinamous,Precocial ,Precocial 1,,,,,,,,,,,
Tinamiformes,Tinamidae ,Nothurinae,Nothoprocta,,Precocial ,Precocial 1,,,,,,,,,,,
Tinamiformes,Tinamidae,Tinaminae,Crypturellus,,Precocial ,Precocial 1,,,,,,,,,,,
Tinamiformes,Tinamidae,Tinaminae,Tinamus,,Precocial ,Precocial 1,,,,,,,,,,,
Galliformes,Megapodiidae,,Leipoa,malleefowl,Superprecocial,Superprecocial,,,,,,,,,,,
Galliformes,Cracidae,Penelopinae,Ortalis,chachalaca,,,,,,,,,,,,,
Galliformes,Cracidae,Cracinae,Crax,curassows,,,,,,,,,,,,,
Galliformes,Numididae,,Numida,helmeted guineafowl,,,,,,,,,,,,,
Galliformes,Odontophoridae,,Odontophorus,wood quail,,,,,,,,,,,,,
Galliformes,Odontophoridae,,Colinus,bobwhites,,,,,,,,,,,,,
Galliformes,Phasianidae,,Rollulus,crested partridge,Precocial ,Precocial 1,,,,,,,,,,,
Galliformes,Phasianidae,Tetraoninae,Bonasa,ruffed grouses,Precocial ,Precocial 1,,,,,,,,,,,
Galliformes,Phasianidae,,Gallus,chickens,Precocial ,Precocial 1,,,,,,,,,,,
Anseriformes,Anhimidae,,Chauna,screamers,,,,,,,,,,,,,
Anseriformes,Anseranatidae,,Anseranas,magpie goose,,,,,,,,,,,,,
Anseriformes,Anatidae,Dendrocygninae,Dendrocygna,whistling/tree duck,Precocial ,Precocial 1,,,,,,,,,,,
Anseriformes,Anatidae,Anatinae ,Oxyura,stiff-tailed duck,Precocial ,Precocial 1,,,,,,,,,,,
Anseriformes,Anatidae,Anserini,Anser,grey goose,Precocial ,Precocial 1,,,,,,,,,,,
Anseriformes,Anatidae,Anatini,Anas,dabbling duck,Precocial ,Precocial 1,,,,,,,,,,,
Anseriformes,Anatidae,Aythyini,Aythya,diving duck,Precocial ,Precocial 1,,,,,,,,,,,
Caprimulgiformes,Caprimulgidae,Caprimulginae ,Eurostopodus,eared nightjar,Semialtricial,Semialtricial,,,,,,,,,,,
